"spec","stations","nebel_rows","gew_rows","nebel_chg_34yr","gew_chg_34yr","ratio_of_slopes","nebel_p","gew_p"
"all 10 stations",10,107423,112587,-46,-43.9,1.064,7.61e-45,9.01e-45
"6-station balanced panel (f3/f4)",6,75708,76488,-65.6,-50.7,1.508,5.86e-86,9.06e-48
