"indicator","p1990_1999","p2015_2024","change_pct","fe_change_34yr","odds_ratio_decade","p_value"
"nebel (fog)",8.49,3.89,-54.2,-65.6,0.73,5.86e-86
"gew (thunderstorm)",9.45,6.08,-35.7,-50.4,0.814,1.15e-45
